10
36 425
7 23 43
17 32 77
31 36 67
6 33 64
10 18 18
22 28 93
21 26 73
14 23 22
15 35 37
11 22 21
19 32 69
7 8 79
5 36 41
13 27 39
8 9 38
29 35 31
4 29 60
10 36 15
7 13 79
1 10 18
1 23 48
16 34 97
30 36 62
32 36 94
10 33 28
6 14 59
6 35 77
25 32 59
17 23 14
1 26 37
8 30 28
11 17 85
2 3 97
27 31 53
15 34 86
6 32 77
18 26 76
19 29 82
8 27 81
2 19 89
12 35 49
8 19 71
11 16 96
18 35 95
12 21 49
16 22 69
5 22 20
16 17 98
6 8 36
31 32 28
12 33 38
20 35 5
2 36 61
11 31 4
4 16 24
18 33 47
5 32 21
8 23 2
15 25 26
18 19 71
6 30 99
15 30 61
9 33 23
16 27 61
5 17 14
27 32 72
3 31 12
7 12 91
22 35 23
1 32 90
2 17 46
21 23 23
8 21 83
18 27 68
10 20 31
22 26 99
7 29 56
23 28 94
4 10 78
4 11 23
11 19 19
18 31 89
1 11 71
21 30 91
24 25 90
11 13 10
24 28 8
8 14 2
17 26 74
8 12 53
4 31 69
2 22 95
15 16 29
21 28 47
6 18 34
10 32 27
3 20 83
35 36 36
1 24 2
22 32 38
16 30 42
5 23 63
21 31 34
3 11 35
28 36 25
24 31 20
5 14 85
22 24 96
20 32 53
27 30 62
3 17 32
4 21 35
10 34 10
13 34 7
15 27 64
17 25 75
26 34 34
5 35 17
8 20 28
2 28 45
11 33 29
1 5 62
19 36 46
4 12 63
23 25 57
2 23 48
4 24 2
11 24 33
19 28 24
46 347
1 30 81
20 26 71
10 42 32
21 30 7
5 20 91
4 13 1
14 35 16
2 17 65
5 43 81
2 25 3
12 30 23
4 25 76
9 31 17
13 45 74
6 44 79
24 44 84
1 31 44
15 31 48
39 45 36
10 30 14
12 37 30
6 40 41
28 46 77
40 46 12
17 33 55
29 43 53
31 42 95
19 36 56
9 36 66
19 29 39
9 21 62
16 19 29
33 35 38
31 38 72
12 43 51
10 15 50
10 24 98
3 46 57
3 36 52
7 30 18
17 31 30
40 44 82
14 16 67
26 44 4
5 23 26
18 38 13
1 25 28
35 45 4
1 18 49
14 22 100
37 39 44
8 35 15
21 43 93
28 45 22
9 23 20
8 27 9
11 23 10
20 34 19
5 37 13
12 38 44
11 40 31
6 45 98
21 27 86
23 26 77
29 32 41
11 36 26
11 24 15
1 10 12
14 37 93
2 14 26
9 40 48
20 23 66
23 32 49
6 21 76
3 39 35
27 46 78
7 20 92
3 37 88
4 32 91
19 30 9
5 16 69
29 41 82
6 9 15
32 33 14
5 31 79
22 31 2
9 41 2
19 40 17
31 32 21
7 39 43
26 30 77
9 14 41
25 28 68
32 34 62
33 38 25
25 43 49
38 46 40
2 22 32
8 12 78
37 43 47
30 39 54
13 34 36
7 41 36
38 45 71
4 40 66
38 43 5
4 27 9
10 22 12
26 39 50
12 27 38
7 26 26
33 39 94
21 39 92
10 35 86
28 44 36
14 27 76
12 14 43
26 28 20
35 44 27
4 36 94
14 23 19
28 40 94
18 21 84
23 39 41
2 37 80
17 18 32
13 22 18
5 35 15
27 29 30
6 37 81
11 39 56
2 38 60
9 16 89
9 10 40
19 23 78
8 42 30
11 18 44
37 45 33
2 41 54
8 33 70
2 30 28
29 34 26
15 27 87
1 21 36
31 41 5
5 8 94
15 34 87
15 41 8
22 35 90
26 41 35
20 30 43
1 45 65
8 41 2
10 14 83
18 19 55
11 31 45
11 19 22
11 12 63
21 34 26
4 44 64
1 8 15
7 12 80
6 17 21
1 33 93
4 43 38
2 23 26
33 36 93
34 45 47
29 46 21
35 39 80
4 17 33
14 36 59
25 44 26
17 40 11
33 37 66
6 10 75
13 39 40
32 42 55
29 44 92
18 37 55
8 14 61
21 29 33
16 37 26
1 46 31
3 26 30
10 39 13
5 10 37
20 42 85
39 42 84
9 15 70
1 42 57
7 28 23
16 46 2
16 28 58
37 38 91
19 45 40
1 27 31
29 33 66
34 36 17
15 36 77
34 37 86
14 45 91
9 11 5
27 35 11
8 24 23
24 31 79
37 40 85
8 16 64
12 32 39
5 6 84
44 45 35
3 18 79
13 36 24
5 30 98
8 10 63
15 16 79
3 4 8
32 37 30
4 24 13
25 40 32
3 42 28
19 31 82
21 44 64
12 16 26
6 42 99
20 35 48
17 26 72
26 27 80
3 16 63
38 39 64
31 34 63
2 42 87
15 40 63
3 6 75
13 26 95
6 18 32
20 36 20
8 43 9
3 41 62
5 36 75
12 18 15
14 19 46
4 31 77
27 40 64
6 22 19
2 3 9
25 30 68
22 23 87
4 16 40
5 9 74
15 35 96
16 23 97
1 37 10
19 42 52
23 37 5
2 29 72
42 45 54
8 26 23
30 40 93
9 22 57
30 41 16
30 33 69
14 21 68
1 24 46
20 39 60
11 26 72
7 45 83
11 45 84
3 5 70
20 44 56
26 40 32
6 32 58
31 46 46
34 40 16
30 34 42
16 33 43
17 41 31
10 13 93
12 34 94
32 43 40
24 37 93
26 43 95
27 33 88
9 30 53
24 25 15
11 21 32
15 23 10
25 41 54
2 4 87
2 28 25
1 29 60
16 43 38
28 36 51
32 39 96
35 36 91
12 22 26
2 27 44
18 46 16
40 41 62
15 21 76
33 42 62
22 32 3
6 38 36
18 39 26
15 46 55
3 31 59
23 24 41
16 41 74
36 41 4
29 31 12
14 42 97
1 38 27
11 42 67
22 42 55
11 34 94
13 24 93
2 46 71
3 19 34
36 40 34
9 13 24
9 37 100
23 27 78
4 30 95
4 22 99
29 37 51
40 43 13
2 9 39
6 7 16
2 36 28
41 42 46
30 43 80
16 17 67
14 24 41
21 46 15
12 24 72
1 36 2
24 43 43
26 33 23
19 20 67
5 13 85
13 30 15
27 32 87
21 36 96
33 45 58
23 36 97
1 13 99
34 42 68
49 642
14 26 48
9 46 56
13 48 53
7 36 46
15 22 86
18 45 31
18 41 16
17 43 78
4 26 3
31 34 6
32 43 32
18 24 5
8 11 67
14 19 86
6 27 56
10 49 54
12 43 35
8 22 25
4 39 44
12 48 74
8 17 29
11 41 1
3 35 75
30 33 25
7 11 96
40 49 84
25 29 63
4 8 23
9 43 38
11 31 10
6 23 63
41 47 92
5 45 86
29 43 96
40 47 35
25 49 89
37 48 13
20 40 55
44 45 7
7 14 39
21 43 98
20 38 49
5 39 1
20 27 13
11 20 60
22 45 80
16 46 57
23 31 53
27 30 87
10 27 6
28 46 62
17 23 61
39 45 30
14 34 89
32 36 87
20 29 87
7 28 3
16 49 2
7 44 82
8 40 85
8 20 48
26 38 36
12 46 30
1 36 74
6 48 6
33 46 28
13 16 33
24 36 83
8 30 60
5 31 67
31 43 23
16 25 75
13 22 92
18 40 86
34 45 40
24 35 71
13 17 87
17 18 30
26 34 58
12 31 4
12 26 63
4 19 41
33 37 48
26 41 56
35 47 19
17 44 76
22 37 64
8 16 29
6 9 96
2 12 100
9 25 67
11 18 45
1 3 70
28 31 12
34 48 57
15 40 17
27 32 12
15 23 11
9 39 50
10 32 98
16 45 15
31 49 43
28 42 6
4 22 96
22 29 71
7 45 68
11 36 86
6 14 37
23 48 25
6 43 58
36 47 27
11 28 67
25 37 43
31 36 33
16 19 86
24 38 75
13 20 52
19 45 90
44 46 50
17 46 97
33 39 44
16 23 75
46 48 1
4 27 82
16 48 24
2 45 33
19 27 72
27 46 3
4 41 73
22 27 10
4 36 81
26 29 86
20 31 38
18 49 25
9 38 66
16 34 19
16 38 7
10 45 56
28 30 29
23 38 79
21 30 11
21 33 100
3 5 62
13 40 53
34 43 67
12 25 85
15 44 100
42 46 60
37 38 32
5 15 26
39 44 54
20 36 71
5 20 10
4 20 4
17 47 67
5 24 69
5 35 63
34 41 36
21 32 42
19 25 26
4 44 79
2 27 21
7 17 26
25 33 7
1 22 55
31 40 36
27 47 97
22 32 31
8 37 31
3 7 23
14 15 13
19 36 63
17 19 5
8 24 24
4 46 36
26 32 49
19 22 43
19 33 63
36 48 64
23 37 54
5 26 36
24 31 50
47 49 40
2 26 69
6 7 85
7 34 34
12 49 37
30 39 2
13 19 47
11 46 33
4 12 69
39 40 99
29 35 83
3 19 59
12 45 14
17 21 91
25 47 32
37 47 45
16 39 37
13 47 69
20 32 46
3 49 99
11 16 18
12 30 42
7 22 40
7 26 90
26 42 79
1 10 50
1 19 73
19 39 90
19 31 99
32 48 22
14 25 63
3 40 68
1 49 55
15 35 97
11 22 56
21 34 16
27 40 97
8 44 7
25 44 100
22 36 85
6 25 76
10 33 94
45 49 5
43 44 70
26 27 12
35 38 75
19 30 25
10 37 20
16 22 56
23 32 67
25 39 56
12 39 41
16 33 42
3 33 45
12 28 88
33 41 70
27 35 36
8 25 15
11 43 81
38 41 96
2 15 61
28 33 41
27 45 51
18 23 80
7 21 53
1 44 1
2 7 32
25 45 76
2 14 7
40 46 41
3 44 91
4 10 47
27 42 21
1 7 87
42 48 67
9 20 40
16 21 63
3 21 17
9 30 99
6 29 63
20 35 56
33 48 73
10 40 36
7 29 37
37 44 63
10 14 63
3 8 69
13 41 15
44 48 49
7 16 35
4 6 31
10 39 77
29 49 94
6 20 61
15 26 1
17 42 10
13 28 62
15 30 77
18 42 30
1 38 87
15 27 89
9 29 15
20 23 38
4 34 69
13 32 10
23 25 3
4 38 91
38 48 56
11 35 71
5 43 60
26 45 78
21 27 97
2 21 16
22 24 79
13 38 66
14 35 20
13 46 42
26 39 66
48 49 57
29 33 76
11 13 77
1 37 79
2 10 63
23 33 50
15 28 85
25 31 50
2 4 93
12 23 84
6 35 51
30 31 32
15 37 77
12 37 81
7 25 42
25 36 5
3 6 33
43 45 77
31 39 93
43 46 45
21 36 14
27 28 65
21 31 93
6 33 11
33 49 38
23 36 75
10 29 16
25 41 33
8 43 22
3 43 78
31 45 20
7 37 73
19 24 46
35 41 97
9 31 72
13 15 24
27 34 15
9 49 74
13 21 57
39 49 62
1 48 32
3 9 7
6 8 41
10 30 97
14 36 40
23 27 92
31 32 40
20 37 93
4 17 35
18 31 4
1 2 33
7 38 48
9 18 21
29 32 60
6 34 44
11 14 80
28 34 95
23 34 51
20 46 54
2 9 20
4 16 43
3 34 12
28 41 24
41 45 1
4 40 62
7 19 5
11 15 34
26 33 55
18 38 77
1 11 46
2 32 12
11 48 1
9 12 97
28 29 9
1 35 27
28 45 42
20 24 8
28 49 40
1 26 18
26 47 42
10 20 34
18 37 32
19 42 13
32 38 39
35 37 61
3 32 60
13 23 55
19 20 83
33 44 34
21 25 99
19 40 24
19 46 1
15 29 11
1 32 26
39 46 94
9 42 27
6 38 98
39 48 45
21 28 80
7 32 79
5 16 20
2 47 48
3 18 60
26 31 32
2 42 45
6 41 17
16 42 56
1 8 71
5 27 64
8 26 19
13 27 53
29 39 71
4 23 65
9 23 64
40 42 49
29 44 36
28 44 64
6 30 86
25 26 49
12 35 22
6 44 77
7 13 36
6 32 52
4 14 66
16 40 8
22 38 19
24 40 86
21 23 47
8 12 91
32 40 55
38 42 14
30 44 86
1 6 99
19 37 79
17 49 63
19 43 12
33 43 51
9 47 22
32 39 32
4 43 73
17 31 16
29 48 27
6 31 49
30 46 64
15 45 46
3 14 32
2 48 97
34 38 48
28 48 58
32 47 90
29 37 72
27 39 57
27 31 16
8 23 46
1 25 1
2 24 18
6 17 6
3 42 65
26 37 56
9 45 65
22 28 23
14 20 39
32 45 10
4 30 99
3 39 88
26 48 84
34 47 2
20 41 26
43 48 47
21 26 80
14 17 51
39 47 67
40 44 54
42 47 4
1 33 90
30 42 68
8 46 46
17 26 73
17 22 26
45 47 98
7 15 33
32 46 29
11 19 25
15 34 76
15 16 41
17 29 74
24 46 30
4 11 57
16 27 64
35 39 34
3 10 51
5 29 15
38 39 100
40 43 23
1 39 40
25 27 75
24 30 54
31 41 57
3 29 51
24 27 92
12 40 36
2 34 47
36 45 94
19 21 55
16 31 54
5 17 5
33 34 68
16 24 53
8 21 55
34 46 89
11 49 53
34 42 47
24 49 74
18 44 92
38 45 28
4 48 38
2 25 45
17 35 44
19 34 93
6 21 41
9 28 50
14 48 64
10 21 20
3 28 70
10 44 5
15 38 64
10 35 62
22 26 22
6 40 21
13 49 28
9 17 60
6 24 17
1 4 40
3 30 60
30 43 63
20 21 87
41 44 35
13 14 68
1 41 98
12 29 11
1 31 20
6 12 63
8 15 8
17 25 83
10 24 57
15 43 26
24 28 100
10 48 78
2 23 90
14 23 62
18 22 84
4 33 40
6 49 16
34 49 35
5 47 25
23 45 36
4 24 78
20 22 92
6 13 31
5 42 11
1 5 40
24 48 93
15 18 81
34 40 34
11 34 38
1 9 5
2 29 5
4 49 73
4 15 31
9 35 31
1 43 10
29 46 55
2 6 25
1 23 81
30 49 84
15 20 38
18 28 31
1 45 23
13 31 1
12 44 1
12 32 43
12 14 53
5 8 49
2 35 91
29 47 91
22 34 89
23 29 28
10 23 98
35 46 82
36 37 58
6 42 59
38 43 65
8 35 95
8 49 31
5 46 39
3 26 19
30 38 91
41 49 39
15 41 90
14 28 83
37 49 6
9 14 5
5 18 25
11 21 40
5 41 41
44 49 49
19 41 86
28 40 33
19 28 81
18 32 59
2 28 51
17 33 59
10 18 100
24 29 34
1 18 78
3 27 64
11 26 12
29 45 19
12 42 35
8 13 40
11 47 59
5 10 51
9 32 6
16 41 58
11 17 57
22 31 82
36 40 59
7 9 67
14 24 14
4 5 73
6 47 22
12 22 49
13 25 89
19 29 77
39 41 66
10 19 40
4 37 69
38 49 77
26 35 81
8 10 20
18 19 74
21 48 26
81 408
25 77 65
3 77 15
48 51 57
20 40 51
55 58 16
41 68 68
13 33 55
2 55 1
21 77 82
35 49 35
26 68 55
78 80 50
53 70 49
10 14 8
44 52 8
36 72 59
9 74 10
50 78 39
29 32 31
66 75 18
59 65 24
27 53 40
33 61 9
26 46 2
46 69 44
48 57 24
8 50 29
8 80 29
35 63 12
38 76 80
15 80 89
26 35 8
56 71 55
35 71 29
10 55 72
6 59 1
72 77 55
6 37 84
9 66 39
3 76 99
17 37 97
1 45 68
2 47 24
3 37 86
2 67 71
41 80 89
1 10 4
17 25 99
5 14 89
3 22 56
50 52 82
14 65 23
24 40 40
57 80 26
27 52 77
15 37 40
36 44 81
23 27 79
27 55 13
2 59 93
15 24 89
60 68 38
36 55 85
5 37 86
51 60 93
64 79 40
28 53 42
9 18 58
55 57 4
51 52 32
1 65 37
1 42 89
30 72 56
31 65 71
38 47 18
6 35 39
7 20 92
35 72 90
45 81 40
3 58 38
34 72 32
45 76 69
9 38 71
64 73 97
53 67 15
17 45 27
18 41 38
10 74 28
52 70 26
14 17 74
6 46 39
43 74 21
28 43 96
43 72 30
43 59 62
26 44 33
51 69 55
49 70 26
15 25 59
55 71 23
30 47 90
74 80 69
32 67 61
19 29 89
30 78 32
20 29 51
12 52 26
50 57 75
10 71 17
4 36 42
13 20 100
60 73 51
16 28 6
35 50 87
15 61 92
3 36 49
31 73 41
5 17 17
25 34 65
9 34 11
47 52 52
53 62 79
7 71 92
38 54 27
20 64 96
32 77 24
8 72 25
31 66 5
12 65 41
74 77 30
43 78 66
24 61 13
19 63 82
55 69 100
45 54 51
45 70 55
30 45 24
21 42 44
4 39 79
30 59 57
31 34 92
8 21 85
2 26 100
30 34 98
3 25 89
30 52 72
21 72 80
44 66 41
34 78 96
42 59 99
3 63 85
44 63 31
1 58 6
27 70 54
45 62 45
11 79 31
10 72 20
36 62 20
41 52 83
26 54 13
35 66 47
17 22 72
13 39 54
5 35 41
10 22 11
27 56 41
22 53 81
29 40 98
46 66 99
6 18 59
42 48 11
21 76 28
17 65 66
71 79 33
5 32 78
23 40 62
10 12 12
11 80 8
24 80 52
28 68 39
8 35 8
3 34 21
40 49 53
40 77 51
10 32 78
1 11 75
34 62 2
24 48 67
49 78 50
48 76 80
17 41 64
31 60 48
6 47 52
26 29 39
5 10 78
4 41 46
32 44 43
31 46 83
42 61 56
4 13 72
7 19 37
30 75 59
13 47 34
32 76 93
18 80 79
34 59 21
4 20 13
8 29 87
31 41 67
57 67 73
4 55 74
3 15 13
48 74 53
51 72 64
52 79 64
47 62 7
20 37 63
17 69 69
15 33 78
57 79 79
3 79 24
32 50 22
60 75 85
12 69 14
58 74 26
49 55 64
27 43 78
1 16 70
26 59 77
16 37 100
24 68 39
43 79 93
32 57 92
75 81 13
19 58 19
73 75 82
4 5 33
8 59 44
45 66 32
37 77 70
54 74 92
58 78 100
60 77 5
23 74 22
1 78 26
27 67 60
31 57 84
14 18 7
5 79 60
25 52 79
49 59 69
29 66 83
9 46 55
12 61 98
7 37 67
4 52 61
9 41 64
14 47 72
24 79 20
25 74 10
6 40 9
56 68 52
45 59 25
12 74 16
66 76 59
1 56 78
18 79 32
3 23 77
17 61 70
35 77 31
75 79 33
32 33 80
19 30 56
5 18 62
18 43 70
8 71 97
2 76 45
2 37 34
3 67 18
22 52 87
10 37 26
1 73 59
18 39 20
56 73 78
7 67 41
9 78 96
37 46 99
31 36 72
11 77 89
26 79 46
12 23 37
41 81 76
26 62 90
24 78 47
11 48 23
4 70 23
19 76 56
8 28 12
20 63 59
27 76 77
47 48 75
11 78 46
58 80 67
56 69 99
16 27 69
14 80 25
28 32 7
47 68 71
42 58 95
38 72 88
47 58 34
40 42 94
19 26 96
8 44 83
30 74 64
30 31 70
11 57 97
62 66 98
36 78 43
60 69 28
50 79 92
56 74 65
26 80 53
32 52 80
18 24 4
5 51 96
15 28 95
1 15 65
26 48 93
26 76 4
20 33 33
34 36 12
6 13 42
33 41 94
58 66 69
29 65 81
44 62 71
66 79 29
47 67 77
53 72 97
51 71 46
2 58 43
1 67 5
20 38 93
22 32 38
3 69 18
5 75 10
61 71 41
18 50 87
28 78 19
43 67 66
12 66 46
4 28 91
7 25 54
50 71 91
18 49 94
28 51 6
45 48 36
23 60 22
29 34 69
42 49 82
36 47 74
14 77 53
42 72 71
22 80 70
5 40 64
13 56 66
20 66 40
10 46 13
24 73 93
15 47 99
26 66 68
7 45 2
42 52 89
3 16 58
52 68 35
44 51 25
71 81 48
34 80 77
9 43 47
4 61 51
22 41 92
46 54 66
42 47 58
77 78 71
17 46 96
74 75 53
51 56 29
23 75 32
40 47 75
36 61 78
47 51 58
6 51 96
4 73 94
29 74 78
11 41 41
55 68 13
6 39 61
35 42 93
17 43 78
22 69 92
16 71 23
49 62 19
32 53 25
38 75 26
41 56 63
17 51 79
2 10 69
25 265
14 21 90
1 10 52
3 17 74
1 25 75
10 22 24
6 23 34
7 13 82
16 23 17
14 23 96
2 8 58
15 21 47
14 19 64
4 17 60
20 25 88
5 17 64
8 23 89
23 24 47
12 25 61
7 23 23
5 25 57
4 20 14
12 21 33
3 10 10
3 16 9
4 9 75
7 20 14
3 21 77
8 16 73
11 13 28
6 21 68
1 17 21
10 19 39
3 6 59
4 12 95
6 10 28
9 12 88
12 18 94
5 6 29
12 22 43
11 21 77
9 14 43
12 15 61
17 23 53
10 25 68
5 23 78
4 16 42
22 24 73
16 21 73
9 18 97
17 24 59
2 14 66
3 8 4
7 11 34
2 13 36
15 24 98
2 9 10
16 17 13
11 14 13
5 15 46
8 15 42
15 20 70
13 23 88
4 25 74
10 15 91
2 21 44
10 21 69
1 8 69
5 14 4
15 25 93
18 23 50
5 8 27
1 2 39
7 25 48
12 14 83
9 22 8
1 7 40
13 24 41
17 20 86
3 7 12
1 14 82
5 10 30
8 21 30
8 9 15
2 24 84
7 12 75
1 21 66
18 19 76
6 17 63
12 20 84
1 18 33
19 21 1
17 18 75
18 22 3
4 19 40
4 23 9
16 19 90
11 15 78
5 16 72
10 24 48
20 23 30
7 18 89
4 18 85
9 17 16
2 6 79
2 10 49
9 23 11
11 12 70
13 22 7
6 7 100
17 25 56
2 3 70
5 22 95
1 13 74
2 15 5
5 21 69
22 25 43
5 19 38
8 25 92
8 20 9
16 24 59
2 23 65
4 11 91
7 16 57
6 24 88
10 20 9
13 14 75
7 19 20
9 19 83
14 17 3
9 13 91
5 11 45
5 24 84
4 14 30
1 11 13
21 22 15
12 16 35
3 15 52
6 18 3
9 11 83
11 22 98
5 20 47
6 25 53
2 5 68
18 21 27
14 25 64
7 22 47
12 17 16
9 15 36
11 18 12
2 12 91
8 24 46
2 11 35
9 24 72
17 22 67
18 20 95
24 25 29
5 7 17
2 7 79
11 24 49
9 21 51
3 25 79
3 4 84
4 6 29
5 9 92
8 19 3
15 22 54
16 18 32
6 11 81
10 16 25
3 18 39
6 9 36
13 17 17
19 22 80
3 13 15
16 20 49
7 21 84
6 22 14
8 22 67
12 23 7
15 16 73
10 13 66
8 12 12
9 16 10
4 15 80
5 18 55
1 16 88
4 13 50
13 15 40
6 19 34
14 18 17
13 25 82
3 11 18
5 12 2
19 23 20
14 22 87
7 8 66
8 18 66
13 20 36
13 16 45
10 18 27
4 24 50
7 10 67
8 13 81
11 25 60
9 10 71
21 24 57
10 17 74
13 19 44
7 24 35
1 5 74
1 19 8
8 14 72
2 16 87
22 23 45
1 15 6
6 15 42
14 20 75
4 5 60
4 21 79
2 19 32
16 22 50
11 20 85
3 24 71
11 16 98
12 19 54
3 5 73
18 25 97
9 20 77
3 19 68
7 15 38
17 21 46
2 4 51
23 25 61
7 17 20
4 8 1
1 4 18
14 15 63
14 24 2
6 16 8
1 24 84
3 22 70
4 10 91
2 18 12
12 24 74
20 22 10
8 11 26
3 20 70
17 19 82
6 8 22
11 17 65
16 25 21
2 17 86
15 17 77
3 14 1
21 25 99
6 13 61
19 24 21
18 24 10
2 22 37
15 18 40
3 23 87
1 22 32
2 25 61
10 23 68
6 12 20
15 5
3 13 61
2 9 81
5 8 80
6 7 1
8 12 7
29 370
11 16 1
2 21 40
11 22 81
16 21 75
12 14 54
20 28 67
9 19 100
19 26 98
8 20 39
15 25 47
6 26 14
12 16 34
4 25 94
3 20 2
12 27 63
4 20 75
17 27 61
11 17 80
14 26 30
10 26 65
11 19 43
14 23 34
1 20 98
8 10 79
9 27 74
15 19 68
12 20 3
12 19 76
21 28 3
8 23 29
12 26 30
5 28 52
20 29 75
5 7 12
3 29 26
15 22 86
11 26 25
2 19 86
6 11 85
3 19 17
7 18 50
3 14 93
5 23 68
13 18 10
11 24 39
1 6 82
4 18 61
1 7 69
9 14 76
14 28 67
4 11 43
4 17 82
13 26 40
15 18 28
10 20 33
3 24 30
2 26 13
10 25 21
4 8 88
6 16 11
17 19 30
11 18 91
5 9 49
1 4 27
3 15 73
9 25 24
17 29 46
6 9 60
25 28 61
1 10 8
2 28 31
14 20 69
2 7 92
21 26 62
23 28 48
15 20 36
2 13 23
9 16 66
20 22 1
4 22 97
12 29 19
8 27 10
17 28 15
6 23 43
22 26 8
13 25 44
7 25 59
12 23 91
18 23 66
9 26 71
7 23 83
2 16 85
25 29 77
11 21 1
5 10 54
6 22 57
4 14 88
3 9 63
16 17 15
6 27 92
10 23 1
7 10 22
12 24 77
5 13 48
6 8 22
7 26 96
3 25 80
8 11 35
8 12 28
2 5 70
1 24 92
9 10 24
11 25 21
18 19 79
23 29 47
2 15 58
25 27 15
11 29 20
7 9 69
12 18 76
1 2 18
9 28 38
19 22 59
1 27 96
9 29 82
4 29 44
10 28 91
6 20 32
2 3 53
9 23 52
10 21 59
3 28 34
5 11 92
2 27 64
14 16 53
20 27 61
5 12 32
4 5 67
4 13 88
11 23 25
9 15 10
26 28 56
18 22 80
8 16 41
14 21 41
22 27 61
19 24 19
6 25 29
13 21 49
9 18 74
10 13 74
6 17 86
3 16 8
8 22 51
23 24 53
2 8 1
4 7 93
16 18 85
3 23 53
8 13 5
4 23 68
1 16 87
11 27 12
4 10 48
11 12 31
13 22 51
3 27 46
1 3 35
3 12 54
1 18 6
9 17 1
1 13 70
1 22 70
22 29 64
11 20 50
23 26 56
7 24 68
1 28 88
18 29 54
3 17 76
9 11 17
15 27 13
13 19 40
18 24 14
3 11 12
5 14 67
12 13 50
1 17 67
6 18 45
2 18 62
11 13 93
2 14 74
24 26 63
9 22 73
4 15 31
1 11 56
7 28 3
5 19 35
11 14 78
3 22 9
12 28 19
12 25 72
7 16 96
13 16 76
7 19 61
7 22 18
4 6 41
2 9 84
3 10 1
20 21 40
10 24 81
1 8 25
8 14 27
6 24 23
14 19 90
6 29 37
4 16 23
2 12 80
1 21 17
4 19 30
10 12 7
8 18 95
17 24 86
5 20 32
5 22 59
9 12 43
22 23 95
5 25 35
7 13 25
14 22 57
2 29 38
18 25 13
10 22 79
21 25 26
1 26 79
